locus_tag	b_theta_rnaseq_WT_vs_del_MasB_log2FoldChange	b_theta_rnaseq_WT_vs_del_MasB_p_value	b_theta_rnaseq_WT_vs_del_MasB_padj
BT_0266	-0.108628255707353	0.657804502617077	NA
BT_0267	-0.15447050528878	0.282540248254348	0.673341796047091
BT_0268	0.003026303297134	0.990984021684668	NA
BT_0269	-0.275053088604506	0.2683826433067	NA
BT_0270	0.062172033675882	0.757911559652791	NA
BT_0271	-0.138992696930809	0.474667819403252	NA
BT_0272	-0.238525086948805	0.372932495952378	NA
BT_0273	-0.144858663575979	0.483366485489312	NA
BT_0274	-0.096707241867878	0.681836630068003	NA
BT_0275	-0.481979795527991	0.07174556349275	NA
BT_0276	0.005472313465282	0.983698008461326	NA
BT_0277	-0.223278789844659	0.404079008638683	NA
BT_0278	0.054605316304002	0.834498940719323	NA
BT_0279	-0.133162797809447	0.473297001890907	NA
BT_0280	-0.006495048557773	0.978128338011631	0.994408123515383
BT_0281	0.173225033422658	0.365277835308653	0.743876706236009
BT_0282	-0.049802286662297	0.83029538179133	0.967480860315615
BT_0283	-0.015223540543538	0.954345017125587	NA
BT_0284	-0.087323286902437	0.328016805801418	0.71526429822848
BT_0285	-0.164859206816158	0.382795540173313	0.76039570113689
BT_0286	-0.06226458250746	0.805884601876706	0.960295789752465
BT_0287	0.131670387844534	0.603745050570831	0.891037782920398
BT_0288	0.057871723014511	0.814288176953398	0.960812782803122
BT_0289	-0.138539491988658	0.402358328791489	0.773918380758144
BT_0290	-0.054909819502053	0.785488945989288	0.957497762376453
BT_0291	-0.306343081722984	0.035157898340844	0.224507417153838
BT_0292	0.265395027857904	0.309187758069144	NA
BT_0293	0.213837541910843	0.371551099843303	0.748214350207289
BT_0294	0.878495943454107	1.1275539037360802e-15	2.94694266697879e-13
BT_0295	0.051925259051522	0.629163011362762	0.903131966986478
BT_0296	0.370216065515546	0.085931300006282	0.38388828888756
BT_0297	0.46170974993562103	0.084618792262366	NA
BT_0298	0.342942476559473	0.157685704732974	NA
BT_0299	0.09684002527566	0.696652772177818	0.918129245665572
BT_0300	0.111229121903325	0.673530364880564	0.912436058231807
BT_0301	0.140217474129575	0.594244041251551	NA
BT_0302	-0.110278670634097	0.590985263123597	NA
BT_0303	-0.137658110900032	0.140180407885849	0.490832643496958
BT_0304	0.427656782752066	1.26965604465582e-8	9.88440737743755e-7
BT_0305	0.44654820475612	8.331185201557721e-9	6.92813787556811e-7
BT_0306	0.45882869896685	4.57488111035013e-8	3.15839433637191e-6
BT_0307	0.351468843941425	8.67403540688384e-7	4.42317745937552e-5
BT_0308	0.224563764836102	0.317492459520854	0.704490545413465
BT_0309	-0.349158902132814	3.97245043897829e-6	1.61502179514e-4
BT_0310	-0.428501970976086	2.29806334235e-4	0.00480492215409
BT_0311	-0.275695719346317	9.00637135456e-4	0.014646361238366
BT_0312	-0.233051310619158	0.004011527086031	0.047196712565228
BT_0313	-0.29453115276218	4.07882902776e-4	0.007693007944625
BT_0314	-0.083481872872086	0.538329306418067	0.862711984204612
BT_0315	-0.122028645028091	0.124687870150854	0.465543792736709
BT_0316	-0.201700607904553	0.013633080311727	0.117097279015516
BT_0317	0.504461121473132	1.46049180839582e-7	8.90656587820054e-6
BT_0318	0.728742049101396	5.93622242177556e-6	2.23924101456e-4
BT_0319	0.013331224133487	0.959845470250969	NA
BT_0320	0.12132527163613	0.427918655527638	0.797963047164469
BT_0321	-0.100241998036195	0.602631660014597	0.891037782920398
BT_0322	-0.141864098183357	0.119338558813525	0.457766271141392
BT_0323	-0.067585243856119	0.471665976565408	0.82621319537483
BT_0324	0.099375180777773	0.566115552404293	0.870978591689107
BT_0325	-0.331208603279416	0.081703527290677	0.376041769001997
BT_0326	-0.452501306648829	4.63994866411419e-5	0.001295997874961
BT_0327	0.073541172952547	0.694294978411696	0.91712105632072
BT_0328	0.068817231723267	0.510032099843201	0.84857989430796
BT_0329	-0.01876446687315	0.807294082067312	0.960295789752465
BT_0330	0.00452410134709	0.957648912294941	0.99003027334098
BT_0331	0.154681137387786	0.096234137991187	0.406870684638656
BT_0332	0.242114287390501	0.037337612277215	0.232739903445193
BT_0333	0.170441237219477	0.127815220950391	0.46947041745161
BT_0334	0.091505488000987	0.49392873394332	0.832935113926588
BT_0335	-0.064301694111004	0.67929713401409	0.913861145627365
BT_0336	0.023527780504249	0.902096557834492	0.983312534912097
BT_0337	0.131258464500979	0.567271805028884	0.871022884851317
BT_0338	-0.041445386052308	0.824251987449085	NA
BT_0339	0.002926737189144	0.990382698115934	NA
BT_0340	-0.154165232047491	0.525662522942227	NA
BT_0341	0.113339257513095	0.614192671612196	NA
BT_0342	0.256957200825152	0.336816472909999	NA
BT_0343	-0.02464114136011	0.918450529160268	0.985301054586136
BT_0344	0.153169749097293	0.240378069880997	0.634265804287649
BT_0345	-0.014913115589852	0.910746619360243	0.984405151168699
BT_0346	-0.101094561807512	0.247939974223006	0.643095602432103
BT_0347	0.078138536583394	0.381558778620617	0.759545193984938
BT_0348	-0.17963403356727	0.485882299061323	0.828059307063521
BT_0349	2.88421568008e-4	0.998693160883799	NA
BT_0350	0.523636846003683	0.04749915826375	NA
BT_0351	-0.114894756062454	0.358118481382571	0.739158744973089
BT_0352	-0.037024012707169	0.878426469589391	0.982519345847501
BT_0353	-0.208422801585315	0.339571206270941	0.727028112197409
BT_0354	-0.063520852108047	0.786724595255262	0.957497762376453
BT_0355	0.05365560512469	0.746214833465805	0.940948655491109
BT_0356	-0.291586567118778	0.139205797170597	0.489292998892618
BT_0357	-0.062230538070664	0.723519389969238	NA
BT_0358	0.046460142647667	0.8615348281349	NA
BT_0359	0.047362344037039	0.850789067214031	NA
BT_0360	-0.066715703470828	0.778486368647265	NA
BT_0361	0.050992608293919	0.791319092841994	NA
BT_0362	0.057789200619704	0.823508264845286	NA
BT_0363	0.179937280725183	0.358497338022756	NA
BT_0364	0.02673139392908	0.911352277754977	NA
BT_0365	0.04473078524079	0.8572257484538	NA
BT_0366	-0.004535891058309	0.975392522829977	0.994209212941533
BT_0367	0.147022838334227	0.551520099786714	NA
BT_0368	0.160962879515641	0.478273846816399	0.82621319537483
BT_0369	-0.061229345366818	0.818959562868999	NA
BT_0370	0.315620346583652	4.21203260239e-4	0.007783751157646
BT_0371	0.241138767751838	0.014509000106639	0.120655525886804
BT_0372	-0.030178660970681	0.749056267264876	0.941937633220181
BT_0373	0.21932943799302	0.014663867466824	0.12163481598862
BT_0374	0.020333156584177	0.809745438611627	0.960295789752465
BT_0375	0.27027600759384	0.195510536554312	0.581604108335145
BT_0376	-0.166696863920965	0.346747406346132	0.733618219869806
BT_0377	-0.169760450309493	0.432034617574439	0.802472828860709
BT_0378	0.012416067141768	0.95933051912786	0.99003027334098
BT_0379	0.167025833532031	0.428179643093874	0.797963047164469
BT_0380	0.088729248657487	0.685555770512638	0.914554099270827
BT_0381	0.342925388736105	0.055041357712213	0.296171070395571
BT_0382	0.389156890521652	0.043722967275245	0.258452887334609
BT_0383	0.055669371410723	0.783319866395148	0.95730373785566
BT_0384	-0.172908132117428	0.400566768919658	0.773034708584931
BT_0385	0.055702495007277	0.786588408118748	0.957497762376453
BT_0386	0.026939702304732	0.892970488142867	0.983198774735602
BT_0387	0.039949900517718	0.863100375788303	0.977345057708285
BT_0388	-0.124966804268244	0.619426955631522	0.899546703874019
BT_0389	-0.035525836208581	0.890989172520129	NA
BT_0390	-0.001078214875012	0.996776093396756	NA
BT_0391	-0.226964244241542	0.376700753086245	0.753645482101592
BT_0392	0.267258263030456	0.261099822328321	0.65705931905043
BT_0393	0.016540473532106	0.949249875479252	0.989795275678874
BT_0394	0.052032336209182	0.819718681862944	0.963027329505342
BT_0395	-0.054292665000803	0.771704909511612	NA
BT_0396	0.054119389644157	0.837928345857415	0.968408028266671
BT_0397	0.200188540510401	0.450945416331138	NA
BT_0398	0.020337939454686	0.938678474427302	NA
BT_0399	0.237628874245906	0.357204361239864	0.739149607485038
BT_0400	0.23944748147935	0.254446684612933	0.650731163813667
BT_0401	NA	NA	NA
BT_0402	0.084469874715469	0.523967707865605	NA
BT_0403	-0.061674282948124	0.817292535754244	NA
BT_0404	-0.114879238941792	0.642240495905274	NA
BT_0405	-0.086428899032403	0.4279945150661	NA
BT_0406	-0.339906163930861	0.016676086077687	0.135595108796126
BT_0407	-0.239026924641369	0.027516991816815	0.187844539286803
BT_0408	-0.196614040206798	0.013551230588664	0.116943284726234
BT_0409	-0.118490377010808	0.117047908805382	0.454117127874204
BT_0410	-0.00620204452024	0.938233981995647	0.987833702746544
BT_0411	-0.03101526059718	0.800886238579187	0.960295789752465
BT_0412	0.068202284273633	0.561326924525132	0.868236587366759
BT_0413	0.26635542070047	0.041573547333421	0.24835887157759
BT_0414	0.189523004448524	0.061123843797387	0.315003020358645
BT_0415	0.275938051402408	0.008435549638019	0.08274980194507
BT_0416	0.125676398681609	0.198876349400856	0.584840848360997
BT_0417	-0.024649400496074	0.798493131378609	0.960295789752465
BT_0418	0.329772905791316	3.03528862485719e-5	9.33287485576e-4
BT_0419	-0.047161718398022	0.749947248752731	0.942001188329919
BT_0420	-0.1085814184918	0.294371589192195	0.676931112285265
BT_0421	0.22494294272938	0.014328335800383	0.119971122868649
BT_0422	0.153236294906195	0.054334034301999	0.295525638421455
BT_0423	0.174478946483795	0.089892813328435	0.39344234924491
BT_0424	0.297152166853317	0.169885428139725	0.541270080583631
BT_0425	0.203178614111776	0.420065837245998	0.790242107189259
BT_0426	-0.229682304377516	0.222301253360937	0.612039342398548
BT_0427	0.23547982746584	0.111214141067	0.440403184160337
BT_0428	0.255304894402722	0.040312826605517	0.24340698440526
BT_0429	0.274896137027635	0.059874860856835	0.310314611721187
BT_0430	0.1393384576447	0.136429110795192	0.486026727286529
BT_0431	0.127276415113585	0.559315624229123	0.868060929494042
BT_0432	3.27938729734e-4	0.998698669062336	NA
BT_0433	0.060940645965669	0.622819248952053	0.900693167695415
BT_0434	0.048822017865153	0.844436974235071	0.97239204297496
BT_0435	0.018357341303614	0.941476650560704	0.988541046759718
BT_0436	-0.073222408430936	0.752838261300583	0.943139658466389
BT_0437	0.140645691275305	0.415360391731657	NA
BT_0438	0.170350192481551	0.48511733078538	NA
BT_0439	-0.245595678692844	0.352287081950513	NA
BT_0440	0.112079216180875	0.674139190784801	NA
BT_0441	-1.37553057648e-4	0.999557600271695	NA
BT_0442	0.033745057415712	0.893280081956301	0.983198774735602
BT_0443	-0.076862406659025	0.769913281483415	0.951128704594245
BT_0444	0.296117946253204	0.187560429297096	0.571903008998396
BT_0445	-0.051687109472137	0.811873981179991	0.960295789752465
BT_0446	-0.156275528536036	0.414741970388763	NA
BT_0447	0.172676449125483	0.510231951343533	NA
BT_0448	0.107047061530914	0.637587458075177	NA
BT_0449	0.324514964093401	0.225363912641408	NA
BT_0450	0.107393912689883	0.687571389503822	NA
BT_0451	0.047879984589599	0.849933809788174	0.974452274593482
BT_0452	-0.009872351556679	0.959421881402675	0.99003027334098
BT_0453	-0.161181407183991	0.525918738339177	NA
BT_0454	-0.048284436261006	0.845969818763502	NA
BT_0455	-0.169937291050914	0.296677391995535	0.680164522125102
BT_0456	-0.180655651111394	0.417420649013904	0.787867911578389
BT_0457	-0.101152751642887	0.699524011111031	0.918555236155559
BT_0458	-0.002832414891497	0.976972040100927	0.994209212941533
BT_0459	0.203334701597727	0.075020930096908	0.355792093850328
BT_0460	0.302822618813138	0.135991389165792	0.485750977905657
BT_0461	0.443039621410489	0.044455716345345	0.261097056352518
BT_0462	-0.15973581508597	0.492172253525389	0.832622575381709
BT_0463	0.04242328266006	0.87150905035624	0.980600862093446
