MAPS_BTnc201_logFC	MAPS_BTnc201_logCPM	MAPS_BTnc201_F	MAPS_BTnc201_p_value	MAPS_BTnc201_FDR	id_lower	b_theta_rnaseq_WT_vs_del_MasB_log2FoldChange	b_theta_rnaseq_WT_vs_del_MasB_p_value	b_theta_rnaseq_WT_vs_del_MasB_padj	locus_tag
0.47588145089757	1.25312123195973	1.86407239376995	0.094235062461174	0.638785956574856	bt_1922	-0.089733593992919	0.49560322072572	0.83413623948271	BT_1922
0.821094137483174	0.075855862485598	1.8670742800193	0.094065545639326	0.638785956574856	bt_2198	-0.199338811107377	0.33414956687798	0.722181491557312	BT_2198
-0.516778314811767	1.02649732766236	1.85652075188087	1	0.639705458052688	btnc251	NA	NA	NA	BTnc251
0.755337591383205	-0.043024433639848	1.85421387146172	0.094794457573673	0.639935507435812	bt_3572	0.081340357099045	0.650818925154451	0.905905807987329	BT_3572
-0.931189820443889	-0.691855640181045	1.85153995561179	1	0.640307847954571	btnc175	NA	NA	NA	BTnc175
0.186526517502762	6.9447714830617	1.84894799100546	0.095094951242955	0.640649917176181	btnc169	NA	NA	NA	BTnc169
-0.7487491602734	0.065076577030719	1.84309858481706	1	0.641836044837201	bt_3583	0.078354171023695	0.69964838566973	0.918555236155559	BT_3583
-0.322339767612215	10.7503914535041	1.84247352010276	1	0.641836044837201	bt_t24	NA	NA	NA	BT_t24
0.224047097612776	3.68032350851334	1.8343912772178	0.095931822333013	0.644309443465194	bt_1913	-0.092270773704656	0.282838785414577	0.673341796047091	BT_1913
0.257845371698057	2.94074934680833	1.83005387703604	0.096182956705305	0.645337636120604	bt_1578	-0.044523656682597	0.620682419683091	0.900094030878032	BT_1578
-0.387844705476878	1.63530085454774	1.82371860071097	1	0.647148973913764	bt_2095	-0.156845182915471	0.286341896211052	0.673401019964049	BT_2095
-0.980971922823201	-0.822181491680372	1.81517840867394	1	0.647397928061605	bt_0592	-0.276840080384464	0.296882362774617	NA	BT_0592
-0.813086025236804	-0.361637002222856	1.81644550284684	1	0.647397928061605	bt_0660	-0.031772724721628	0.882121146027208	0.983198774735602	BT_0660
-0.813086025236804	-0.361637002222856	1.81644550284684	1	0.647397928061605	bt_4739	-0.098174247276607	0.687959483150881	0.914554099270827	BT_4739
-0.251895109453088	3.46505351904788	1.81696986561269	1	0.647397928061605	bt_2354	0.007236365337174	0.938245588094737	0.987833702746544	BT_2354
-0.180550099752346	5.84378337377832	1.81467247399546	1	0.647397928061605	bt_0410	-0.00620204452024	0.938233981995647	0.987833702746544	BT_0410
0.182493650837542	5.33333735371198	1.80650957262068	0.097560587968185	0.649943107294121	bt_1694	-0.131779723149051	0.087629330118233	0.387241206404125	BT_1694
-0.296863508487061	2.38374704588667	1.80106915244416	1	0.651427807209657	bt_1678	0.02847546745557	0.802020879194481	0.960295789752465	BT_1678
0.687611877976435	0.252343540424571	1.79687972221507	0.098131158214842	0.652423518555645	bt_0878	0.041607131996829	0.838288188390544	0.968517992207452	BT_0878
-0.776931330125176	-0.03112216641422	1.78534930607455	1	0.65266058296106	bt_0337	0.131258464500979	0.567271805028884	0.871022884851317	BT_0337
-0.408906301396461	1.49449945474066	1.78223974391312	1	0.65266058296106	bt_2401	0.236231412294528	0.230722821565815	0.621202946364473	BT_2401
-0.288254944973327	2.4649518455678	1.78909900476841	1	0.65266058296106	bt_3837	0.012643644467954	0.906789094775435	0.983883391184999	BT_3837
0.177334469777322	5.52530761604639	1.79356638114031	0.098328439638643	0.65266058296106	bt_3184	0.043363373328172	0.679607660560802	0.913861145627365	BT_3184
0.190567732787711	4.2023206934977	1.78276527191835	0.098975013339707	0.65266058296106	bt_0586	-0.070190029871415	0.332331218116663	0.720379103725634	BT_0586
